00000001 Logging: Session Logs Enabled
00000001 Logging: Application-Defined Items Enabled
00000001 Logging: Transaction Statistics Enabled
00000001 Logging: Transaction Timing Enabled
00000001 ooObjy Startup: [Wed Dec 04 19:33:58 2013]
 [process ID = 5220]
 [number of files = 12] [AMS usage = oocAMSPreferred]
 [install signal handler = oocTrue]
00000002 QA_MEMORY_LOG: Number of Threads: 1.
00000002 QA_MEMORY_LOG: Starting Memory Usage: 11.27344 MB
00000002 Connection Create: 
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 [auto-recover = oocTrue]
00000002 New Session Pool: SessionPoolName
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 [soft limit = 1][hard limit = 1][initial pages = 500][max pages = 500][large object memory limit = 4096000]
 [hot mode = false] [lock wait= 10][session wait = 0]
00000002 Initialize Thread: [thread ID = 7468]
00000002 Session Pool Session Create: [session name = Pool_SessionPoolName_1]
00000004 Autorecovery: [successful]
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
00002537 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 61000
00002545 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 62000
00002572 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 63000
00002581 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 64000
00002590 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 65000
00002598 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 66000
00002606 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 67000
00002615 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 68000
00002623 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 69000
00002630 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 70000
00002636 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 71000
00002644 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 72000
00002653 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 73000
00002661 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 74000
00002680 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 75000
00002689 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 76000
00002698 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 77000
00002706 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 78000
00002714 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 79000
00002723 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 80000
00002731 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 81000
00002740 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 82000
00002759 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 83000
00002769 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 84000
00002778 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 85000
00002786 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 86000
00002794 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 87000
00002824 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 88000
00002833 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 89000
00002842 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 90000
00002850 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 91000
00002857 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 92000
00002866 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 93000
00002875 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 94000
00002899 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 95000
00002909 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 96000
00002918 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 97000
00002927 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 98000
00002935 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 99000
00002943 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 100000
00002951 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 101000
00002960 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 102000
00002968 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 103000
00002978 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 104000
00002986 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 105000
00002995 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 106000
00003002 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 107000
00003235 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 108000
00003278 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 109000
00003287 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 110000
00003295 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 111000
00003585 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 112000
00003595 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 113000
00003603 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 114000
00003785 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 115000
00003794 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 116000
00003869 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 117000
00003879 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 118000
00004124 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 119000
00004134 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 120000
00004142 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 121000
00004163 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 122000
00004312 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 123000
00004322 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 124000
00004332 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 125000
00004356 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 126000
00004366 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 127000
00004375 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 128000
00004382 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 129000
00004390 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 130000
00004522 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 131000
00004531 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 132000
00004539 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 133000
00004546 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 134000
00004554 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 135000
00004619 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 136000
00004634 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 137000
00004732 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 138000
00004744 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 139000
00004755 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 140000
00004766 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 141000
00004777 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 142000
00004804 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 143000
00004813 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 144000
00004824 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 145000
00004834 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 146000
00004845 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 147000
00004857 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 148000
00004867 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 149000
00004878 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 150000
00004890 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 151000
00004901 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 152000
00004912 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 153000
00004923 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 154000
00004953 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 155000
00004964 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 156000
00004975 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 157000
00005026 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 158000
00005036 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 159000
00005044 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 160000
00005054 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 161000
00005062 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 162000
00005071 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 163000
00005079 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 164000
00005087 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 165000
00005096 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 166000
00005105 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 167000
00005114 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 168000
00005122 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 169000
00005130 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 170000
00005139 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 171000
00005161 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 172000
00005170 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 173000
00005178 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 174000
00005187 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 175000
00005195 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 176000
00005203 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 177000
00005212 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 178000
00005220 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 179000
00005229 QA_MEMORY_LOG: Thread 0 Memory: 16.46484 MB. Count: 180000
