00000000 Logging: Session Logs Enabled
00000000 Logging: Application-Defined Items Enabled
00000000 Logging: Transaction Statistics Enabled
00000000 Logging: Transaction Timing Enabled
00000000 ooObjy Startup: [Wed Dec 04 19:32:47 2013]
 [process ID = 1104]
 [number of files = 12] [AMS usage = oocAMSPreferred]
 [install signal handler = oocTrue]
00000001 QA_MEMORY_LOG: Number of Threads: 1.
00000001 QA_MEMORY_LOG: Starting Memory Usage: 11.28125 MB
00000001 Connection Create: 
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 [auto-recover = oocTrue]
00000001 New Session Pool: SessionPoolName
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
 Shared Cache: [initial page space = 4096000][max page space = 4096000][initial large objects = 0][max large objects = 500][max large object space = 4096000]
 [hot mode = false] [lock wait= 10][session wait = 0]
00000001 Initialize Thread: [thread ID = 6444]
00000002 Session Pool Session Create: [session name = Pool_SessionPoolName_1] (Shared Cache)
00000003 Autorecovery: [successful]
 [boot file = C:/FinalWorkspace/main/qatest/SharedCache/CPP/Simple/LogPerformance/win_x64/test.boot]
00001876 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 61000
00001882 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 62000
00001907 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 63000
00001915 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 64000
00001923 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 65000
00001930 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 66000
00001937 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 67000
00001944 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 68000
00001950 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 69000
00001956 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 70000
00001963 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 71000
00001969 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 72000
00001976 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 73000
00001983 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 74000
00001990 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 75000
00001998 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 76000
00002006 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 77000
00002013 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 78000
00002020 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 79000
00002028 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 80000
00002036 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 81000
00002043 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 82000
00002049 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 83000
00002067 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 84000
00002074 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 85000
00002081 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 86000
00002088 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 87000
00002111 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 88000
00002118 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 89000
00002125 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 90000
00002131 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 91000
00002138 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 92000
00002144 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 93000
00002150 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 94000
00002158 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 95000
00002165 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 96000
00002172 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 97000
00002192 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 98000
00002199 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 99000
00002206 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 100000
00002213 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 101000
00002220 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 102000
00002227 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 103000
00002250 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 104000
00002257 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 105000
00002264 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 106000
00002270 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 107000
00002427 QA_MEMORY_LOG: Thread 0 Memory: 16.39063 MB. Count: 108000
